"maize","#f4d054","maize"
"mango","#ffa62b","mango"
"manilla","#fffa86","manilla"
"marigold","#fcc006","marigold"
"marine blue","#01386a","marine blue"
"marine","#042e60","marine"
"maroon","#650021","maroon"
"mauve","#ae7181","mauve"
"medium blue","#2c6fbb","medium blue"
"medium brown","#7f5112","medium brown"
"medium green","#39ad48","medium green"
"medium grey","#7d7f7c","medium grey"
"medium pink","#f36196","medium pink"
"medium purple","#9e43a2","medium purple"
"melon","#ff7855","melon"
"merlot","#730039","merlot"
"metallic blue","#4f738e","metallic blue"
"mid blue","#276ab3","mid blue"
"mid green","#50a747","mid green"
"midnight blue","#020035","midnight blue"
"midnight purple","#280137","midnight purple"
"midnight","#03012d","midnight"
"military green","#667c3e","military green"
"milk chocolate","#7f4e1e","milk chocolate"
"mint green","#8fff9f","mint green"
"mint","#9ffeb0","mint"
"minty green","#0bf77d","minty green"
"mocha","#9d7651","mocha"
"moss green","#658b38","moss green"
"moss","#769958","moss"
"mossy green","#638b27","mossy green"
"mud brown","#60460f","mud brown"
"mud green","#606602","mud green"
"mud","#735c12","mud"
"muddy brown","#886806","muddy brown"
"muddy green","#657432","muddy green"
"muddy yellow","#bfac05","muddy yellow"
"mulberry","#920a4e","mulberry"
"murky green","#6c7a0e","murky green"
"mushroom","#ba9e88","mushroom"
"mustard brown","#ac7e04","mustard brown"
"mustard green","#a8b504","mustard green"
"mustard yellow","#d2bd0a","mustard yellow"
"mustard","#ceb301","mustard"
"muted blue","#3b719f","muted blue"
"muted green","#5fa052","muted green"
"muted pink","#d1768f","muted pink"
"muted purple","#805b87","muted purple"
"nasty green","#70b23f","nasty green"
"navy blue","#001146","navy blue"
"navy green","#35530a","navy green"
"navy","#01153e","navy"
"neon blue","#04d9ff","neon blue"
"neon green","#0cff0c","neon green"
"neon pink","#fe019a","neon pink"
"neon purple","#bc13fe","neon purple"
"neon red","#ff073a","neon red"
"neon yellow","#cfff04","neon yellow"
"nice blue","#107ab0","nice blue"
"night blue","#040348","night blue"
"ocean blue","#03719c","ocean blue"
"ocean green","#3d9973","ocean green"
"ocean","#017b92","ocean"
"ocher","#bf9b0c","ocher"
"ochre","#bf9005","ochre"
"ocre","#c69c04","ocre"
"off blue","#5684ae","off blue"
"off green","#6ba353","off green"
"off white","#ffffe4","off white"
